Черничка|Съедобный Предмет. Используется перед броском на ход. Прибавляет 2 к итоговому значению броска (кубики+модификаторы).
Клубничка|Съедобный Предмет. Используется перед броском на ход. Прибавляет 3 к итоговому значению броска (кубики+модификаторы).
Малинка|Съедобный Предмет. При использовании бросаешь монетку с двумя исходами: плюс очко или плюс 2 очка.
Смородинка|Съедобный Предмет. При использовании бросаешь кубик d4 и получаешь выпавшее количество плюс очков.
Крыжовник|Съедобный Предмет. При использовании бросаешь кубик d6 и получаешь выпавшее количество плюс очков.
Вишенка|Съедобный Предмет. При использовании бросаешь кубик d4 со следующими вариантами: 1 - минус 3 очка; 2 - плюс очко; 3 - плюс 2 очка; 4 - шаг вперед на карте.
Ромашка|Хлам. Предмет. Просто красивый цветочек.
Легендарная Ромашка Култхарда|Хлам. Предмет. Живая.
Хмель|Хлам. Предмет. Ничего не делает. Но если у тебя четыре Хмеля в инвентаре, ты можешь превратить их в Светлое Пиво или Темное Пиво на твой выбор.
Томат|Съедобный Предмет. При использовании брось d4-кубик и иди на выпавшее число назад, а также получи плюс 2 очка.
Легендарный Томат|Съедобный Предмет. При использовании сходи на столько клеток вперед на каком месте ты сейчас находишься в лидерборде.
Редиска|Съедобный Предмет. При использовании любой другой стример в онлайне получает минус очко и идет на одну клетку назад, а ты получаешь плюс очко и идешь на одну клетку вперед.
Бомба|Эффект. Счетчик таймера Бомбы - 3 секунды. После прохождения или дропа игры, счетчик уменьшается на 1. Как только счетчик становится 0, Бомба активируется, и ты бросаешь кубик d6, а затем идешь на выпавшее число назад. Ты имеешь право передать Бомбу любому другому стримеру на свой выбор после прохождения игры, то есть в фазе хода 1.
Репка|Эффект. Начальный счетчик Репки: 1. Репка прибавляет 1 к своему счетчику после прохождения игры. Репку можно убрать в любой момент, находясь в фазе хода 2, в таком случае получишь столько плюс очков какой счетчик накопился на Репке.
Свекла|Эффект. Начальный счетчик Свеклы: 1. Свекла прибавляет 1 к своему счетчику каждый раз когда ты переходишь по пунктиру с серой клетки. Счетчик не прибавляется если переходишь по пунктиру с серой трубы. Свеклу можно убрать в любой момент, находясь в фазе хода 2, в таком случае получишь столько плюс очков какой счетчик накопился на Свекле.
Капуста|Эффект. Начальный счетчик Капусты: 1. Капуста прибавляет 1 к своему счетчику каждый раз когда ты покупаешь что-либо в Магазине. Капусту можно убрать в любой момент, находясь в фазе хода 2, в таком случае получишь столько плюс очков какой счетчик накопился на Капусте.
Картошка|Эффект. Начальный счетчик Картошки - 1. Картошка прибавляет 1 к своему счетчику после прохождения игры. Как только игра дропается, Картошка активируется и ты кидаешь дополнительный кубик d6 для броска на ход, а также плюсуешь себе столько очков сколько накопилось на Картошке. Ты имеешь право передать Картошку любому другому стримеру на свой выбор только после прохождения игры, то есть в фазе хода 1.
Патиссон|Эффект. Начальный счетчик Патиссона - 2. Патиссон прибавляет 2 к своему счетчику после прохождения игры. Патиссон можно убрать в любой момент, находясь в фазе хода 2, в таком случае ты выбираешь любого стримера кроме себя. Выбранный стример получает столько минус очков какой счетчик накопился на Патиссоне. Если счетчик Патиссона становится 12 и более, то ты сам получаешь количество минус очков по счетчику Патиссона, а Патиссон уничтожается.
Яйцо|Эффект. Начальный счетчик Яйца - 1. Яйцо прибавляет 1 к своему счетчику после прохождения игры. Когда счетчик становится 4, Яйцо уничтожается, а ты бросаешь d8-кубик и получаешь в инвентарь соответствующее: 1 - Оружейный Лутбокс; 2 - Спецролльный Лутбокс; 3 - Съедобный Лутбокс; 4 - Живой Лутбокс; 5 - Дополнительный d4-кубик для броска на ход; 6 - плюс 3 очка; 7 - Эффектный Лутбокс; 8 - Ходулепитек.
Свинья|Свиной Предмет. При использовании передаешь один любой Эффект из своего инвентаря любому другому стримеру на свой выбор.
Птичкерс|Предмет. При использовании выбираешь стримера, кидаешь d4-кубик, а затем воруешь у выбранного стримера столько очков сколько выпало на кубике и добавляешь их себе. Можно своровать, даже если у жертвы очки уйдут в минус или уже в минусе. Если у цели -30 очков и менее, то вне зависимости от того сколько очков выпало на кубике, ты получаешь плюс очко, а жертва минус очко. Если у цели +20 очков и более, то вне зависимости от того сколько очков выпало на кубике, ты получаешь на одно очко больше, а жертва теряет на одно очко больше.
Гремлин|Гремлинский предмет. При использовании уничтожаешь один Предмет из инвентаря любого стримера (включая себя) на свой выбор. Гремлин требует за это плату в одно очко (можно уходить в минус по очкам). Гремлин не может уничтожить Гремлинские предметы.
Крыса|Крысиный Предмет. При использовании ворует любой Предмет из инвентаря любого другого стримера на твой выбор. Не может украсть Крысиные Предметы.
Шляпа фермера|Предмет. При использовании бросаешь d8 и получаешь выпавший Предмет: 1 - Томат; 2 - Огурец; 3 - Морковка; 4 - Малинка; 5 - Смородинка; 6 - Апельсин; 7 - Черничка; 8 - Вишенка
Котик|Предмет. При использовании уничтожает один Крысиный, один Гремлинский, один Свиной Предмет или одного Птичкерса любого типа в инвентаре любого другого стримера на твой выбор.
Легендарный Котик Пинг|Предмет. При использовании уничтожает все Съедобные, Свиные, Крысиные, Гремлинские Предметы, а также Птичкерсов любого типа в инвентаре у всех стримеров в онлайне, включая тебя, а также добавляет одному любому другому стримеру в онлайне на твой выбор Спецролл «Легендарный Пинговский Котячий Спецролл» с повышенным приоритетом. За каждого стримера у которого в онлайне уничтожились Предметы, ты получаешь плюс очко.
Крот|Предмет. При использовании уничтожает все Съедобные предметы в инвентаре любого другого стримера на твой выбор.
Медведь|Предмет. При использовании уничтожает все Свиные предметы в инвентаре любого другого стримера на твой выбор.
Ястреб|Предмет. При использовании уничтожает все Гремлинские предметы в инвентаре любого другого стримера на твой выбор.
Манул|Предмет. При использовании уничтожает все Крысиные предметы в инвентаре любого другого стримера на твой выбор.
Паук|Предмет. При использовании уничтожает всех Птичкерсов любого типа в инвентаре любого другого стримера на твой выбор.
Пчела|Хлам. Предмет. Ничего не делает. Но если у тебя четыре Пчелы в инвентаре, ты можешь превратить их в Белый мед.
Оса|Предмет. При использовании бросаешь монетку на любого другого стримера в онлайне с условиями: Свин - выбранный стример получает минус очко, а ты получаешь 5 Стримерских слез и бросаешь монетку еще раз; Крысубль - выбранный стример ходит на шаг назад и монетка больше не бросается.
Колорадский жук|Предмет. При использовании уничтожает всю Картошку любого типа в инвентаре любого другого стримера на твой выбор, заставляя жертву пойти на количество клеток назад, равное сумме счетчиков всех Картошек любого типа.
Креветка|Съедобный Предмет. При использовании получаешь шаг вперед и минус очко. Если находишься на одиночной клетке-острове или вообще не на суше, то получаешь еще один шаг вперед.
Пеликан|Предмет. При использовании Пеликан съедает один любой Спецролл из твоего инвентаря на твой выбор (кроме Спецроллов повышенного приоритета), а Пеликан не удаляется из инвентаря. Съеденный Спецролл не работает. Пеликан может съесть только один Спецролл. В случае уничтожения, содержимое Пеликана кладется в твой инвентарь, а сам Пеликан уничтожается. При воровстве или передаче Пеликана, указанный в нем объект инвентаря сохраняется. Невозможно превратить во что-либо.
Бегемот|Предмет. При использовании Бегемот съедает один любой Предмет из твоего инвентаря на твой выбор, а Бегемот не удаляется из инвентаря. Съеденным Предметом нельзя воспользоваться. Бегемот может съесть только один Предмет. В случае уничтожения, содержимое Бегемота кладется в твой инвентарь, а сам Бегемот уничтожается. При воровстве или передаче Бегемота, указанный в нем объект инвентаря сохраняется. Невозможно превратить во что-либо.
Шампур|Предмет. При использовании уничтожаешь от одного до четырех Съедобных Предметов в своем инвентаре и получаешь плюс очко за каждый. Если Съедобным предметом является какая-либо рыба или Свинья - плюс 2 очка за такой.
Пиранья|Предмет. При использовании уничтожает все Оружие и Зелья в инвентаре у любого другого стримера.
Легендарная Пиранья|Предмет. При использовании уничтожает все Оружие и Зелья в инвентаре у всех стримеров в онлайне, включая тебя.
Мини-акула|Оружие. Предмет. При использовании брось кубик d4. Если выпало 1-3, то двигаешь любого другого стримера на одну клетку вперед или назад на свой выбор. Если выпало 4, то кроме выбранного другого стримера, двигаются на одну клетку в ту же сторону, что и выбранный стример, два ближайших к нему позади и два ближайших к нему впереди (если таковых больше двух - учитываются все, кроме тебя).
Шляпа рыбака|Предмет. При использовании бросаешь d8 и получаешь выпавший Предмет: 1 - Карась; 2 - Карп; 3 - Килька; 4 - Лещ; 5 - Минтай; 6 - Окунь; 7 - Тунец; 8 - Щука.
Кит|Предмет. Занимает очень много места в инвентаре. Пока находится в инвентаре, у тебя не может быть больше десяти Предметов (не считая Кита и неуничтожимых Предметов, которые по каким-то причинам ты не можешь использовать). Если при попадании Кита в инвентарь у тебя уже больше десяти Предметов, то ты их должен использовать или уничтожить пока их не станет десять. Когда впоследствии Предметы будут попадать в твой инвентарь в тот момент, когда их у тебя будет больше 10, то выбор остается таким же: использование или уничтожение (в случае невозможности использования). Если их станет больше 10 в тот момент, когда ты оффлайн, то осуществить необходимые действия нужно будет в начале стрима. Кита можно использовать только после прохождения игры, то есть в фазе хода 1. При использовании дает плюс 10 очков.
Щука|Съедобный Предмет. При использовании брось d4-кубик и иди на выпавшее число вперед, а также получи столько минус очков сколько выпало при этом броске.
Карп|Съедобный Предмет. При использовании бросаешь монетку с двумя исходами: плюс очко или шаг вперед.
Легендарный Карп|Съедобный Предмет. При использовании брось кубик d20 и получи столько плюс очков сколько на нем выпало.
Лещ|Съедобный Предмет. Если дать стримеру рыбу, он будет сыт весь день, а если дать леща - он будет бросать кубик. При использовании бросаешь кубик d4 и выполняешь соответствующее выпавшей цифре. 1 - Крутишь Колесо Добра. 2. Получаешь три Монетки. 3. Шаг вперед на карте. 4. Плюс очко.
Легендарный Лещ|Съедобный Предмет. При использовании брось кубик d4 со следующими вариантами: 1 - плюс очко; 2 - плюс 2 очка и шаг вперед; 3 - плюс 3 очка и шаг вперед; 4 - плюс 4 очка.
Карась|Съедобный Предмет. При использовании брось кубик d4 со следующими вариантами: 1 - крутишь два Колеса добра; 2 - получаешь пять Монеток; 3 - плюс очко и шаг назад; 4 - плюс очко и шаг вперед.
Старый башмак|Хлам. Предмет. Не делает ничего. Но если у тебя три Старых башмака, то ты уничтожаешь их и идешь на один шаг вперед.
Башмак|Предмет. При использовании бросаешь кубик d4 и идешь на столько шагов вперед сколько выпало на кубике.
Сапог|Предмет. При использовании бросаешь кубик d4 со следующими вариантами: 1 - шаг назад на карте; 2 - шаг вперед на карте; 3 - два шага вперед на карте; 4 - три шага вперед на карте.
Дырявый сапог|Хлам. Предмет. Не делает ничего. Но два Дырявых сапога можно обменять на Монетковый Лутбокс у Хоста.
Легендарный Огнемет Тиана|Оружие. Предмет. При использовании поджигаешь огнем всех стримеров в онлайне. Подожженные идут на одну клетку назад и получают Горение. Если у жертвы в инвентаре есть Бомбы любого типа, то они все взрываются с соответствующими условиями. Если у жертвы в инвентаре есть Картошки любого типа - они уничтожаются, а жертва идет дополнительно на столько клеток назад сколько было Картошек. Если у жертвы в инвентаре есть Репки, то счетчики Репки становятся 1. Если у жертвы есть все из перечисленного или два совпадения, то он выполняет действия в том порядке, как описано в данном Предмете.
Рыбка|Предмет. При использовании, брось d4-кубик и положи выпавшее в свой инвентарь: 1 - Окунь, 2 - Килька, 3 - Тунец, 4 - Минтай.
Окунь|Съедобный Предмет. При использовании получаешь плюс очко и шаг вперед если стоишь на четной клетке, минус очко и шаг назад если на нечетной или плюс 2 очка если стоишь на клетке без номера.
Килька|Съедобный Предмет. При использовании получаешь минус очко и шаг назад если стоишь на четной клетке, плюс очко и шаг назад если на нечетной или плюс 2 очка если стоишь на клетке без номера.
Тунец|Съедобный Предмет. При использовании получаешь плюс очко и шаг вперед если стоишь на номерной клетке или минус очко и шаг назад если стоишь на клетке без номера.
Минтай|Съедобный Предмет. При использовании получаешь минус очко и шаг назад если стоишь на номерной клетке или плюс очко и шаг вперед если стоишь на клетке без номера.
Бульбамет|Оружие. Предмет. При использовании можешь выстрелить любым количеством своих Картошек в любых других стримеров на свой выбор по принципу одна Картошка = один выстрел = одно взаимодействие. Каждая жертва идет на столько клеток назад сколько было на счетчике у той Картошки, которая в нее прилетела. Картошки у тебя при этом уничтожаются. Можно стрелять только в тех кто онлайн.
Мортира|Оружие. Предмет. При использовании можешь выстрелить любым количеством своих Бомб любого типа в любых других стримеров на свой выбор по принципу одна Бомба любого типа = один выстрел = одно взаимодействие. Выстрелившая Бомба любого типа взрывается у жертвы с соответствующими последствиями. Бомбы любого типа у тебя при этом уничтожаются. Можно стрелять только в тех кто онлайн.
Рогатка|Оружие. Предмет. При использовании двигаешь любого другого стримера на свой выбор на одну клетку вперед если он впереди тебя или на одну клетку назад если он позади. Жертва также получает минус 2 очка. Минусочковый урон удваивается и перенаправляется на тебя при взаимодействии с целью у которой -30 очков и менее.
Динамит|Оружие. Предмет. При использовании двигаешь любого другого стримера на свой выбор на одну клетку вперед. Жертва также получает минус 2 очка. Минусочковый урон удваивается и перенаправляется на тебя при взаимодействии с целью у которой -30 очков и менее.
Граната|Оружие. Предмет. При использовании двигаешь любого другого стримера на свой выбор на одну клетку назад. Жертва также получает минус 2 очка. Минусочковый урон удваивается и перенаправляется на тебя при взаимодействии с целью у которой -30 очков и менее.
Пистолет|Оружие. Предмет. При использовании двигаешь любого другого стримера на одну клетку вперед или назад на твой выбор. Жертва также получает минус 2 очка. Минусочковый урон удваивается и перенаправляется на тебя при взаимодействии с целью у которой -30 очков и менее.
Автомат|Оружие. Предмет. При использовании двигаешь любого другого стримера на одну или две клетки вперед или назад на твой выбор. Жертва также получает минус 3 очка. Минусочковый урон удваивается и перенаправляется на тебя при взаимодействии с целью у которой -30 очков и менее.
Вампирское лассо|Оружие. Предмет. При использовании кидаешь кубик d4 и отнимаешь у ближайшего стримера столько очков сколько выпало на кубике, при этом добавляя их себе (очки можно отнять даже если они уйдут в минус или же уже находятся в минусе). Жертва также идет на одну клетку назад. Если ближайших стримеров несколько, то жертва на твой выбор. Минусочковый урон удваивается и перенаправляется на тебя при взаимодействии с целью у которой -30 очков и менее.
Бумеранг|Оружие. Предмет. При использовании кидаешь кубик d4. Ближайший стример, который находится впереди тебя, сдвигается назад на результат кубика d4. Ближайший стример, который находится позади тебя, сдвигается вперед на результат кубика d4. Если ближайших стримеров несколько, то передвигаются все. Если позади или впереди нет стримера, то Бумеранг применить нельзя. Жертва также получает количество минус очков, выпавшее на кубике. Минусочковый урон удваивается и перенаправляется на тебя при взаимодействии с целью у которой -30 очков и менее.
Разрывная|Оружие. Предмет. При использовании кидаешь Разрывную в трех других стримеров на свой выбор. Те в кого попала Разрывная передвигаются на одну клетку вперед или назад на твой выбор, то есть все идут либо вперед либо назад, а также получают по минус 2 очка. Нельзя использовать меньше чем на трех стримеров. Минусочковый урон удваивается и перенаправляется на тебя при взаимодействии с целью у которой -30 очков и менее.
Томагавк|Оружие. Предмет. При использовании брось кубик d4 и любой другой стример на твой выбор получит столько минус очков сколько выпало на кубике, а также пойдет на такое же количество клеток назад. Минусочковый урон удваивается и перенаправляется на тебя при взаимодействии с целью у которой -30 очков и менее.
Копье|Оружие. Предмет. При использовании все стримеры, находящиеся на расстоянии пяти клеток и менее от тебя, включая тех кто стоит с тобой на одной клетке, идут на одну клетку назад. Жертвы также получают минус очко. Минусочковый урон удваивается и перенаправляется на тебя при взаимодействии с целью у которой -30 очков и менее.
Морской огурец|Съедобный Предмет. При использовании ты обращаешься к силе Земли и осуществляешь Землетрясение: Относится только к стримерам, находящимся в онлайне, включая тебя. Стримеры, находящиеся на нечетных клетках, перемещаются на три клетки назад. Стримеры, находящиеся на четных клетках, перемещаются на три клетки вперед. Стримеры, которые находятся на клетках без номера идут на пять клеток назад. Также все стримеры в онлайне получают по минус 3 очка за передвижение, кроме тебя.
Луна|Предмет. При использовании дает 50 Слез. Игнорирует кап Слез.
Комета|Предмет. При использовании дает 115 Слез. Игнорирует кап Слез.
Солнце|Предмет. При использовании дает 250 Слез. Игнорирует кап Слез.
Спецролльный Лутбокс|Предмет. При использовании роллишь список Спецроллы и получаешь выпавшее.
Эффектный Лутбокс|Предмет. При использовании роллишь список Эффекты и получаешь выпавшее.
Монетковый Лутбокс|Предмет. Используется автоматически при попадании в инвентарь. Роллишь список Монетки и получаешь выпавшее.
Золотой Монетковый Лутбокс|Предмет. Используется автоматически при попадании в инвентарь. Роллишь список Монетки и получаешь выпавшее. Затем бросаешь монетку на еще один ролл списка Монетки и получение с него выпавшего или ничего до тех пор пока не прокнет «ничего».
Золотой Колесный Лутбокс|Предмет. Используется автоматически при попадании в инвентарь. Крутишь бесплатное Колесо добра. После выполнения выпавшего пункта, бросаешь монетку на еще одну бесплатную крутку Колеса добра или ничего до тех пор пока не прокнет «ничего».
Колесный Лутбокс|Предмет. Используется автоматически при попадании в инвентарь. Роллишь список Колеса (в генераторе отдельный список который так и называется КОЛЁСА) и выполняешь выпавшее.
Кубиковый Лутбокс|Предмет. При использовании роллишь список Кубы и получаешь выпавшее.
Оружейный Лутбокс|Предмет. При использовании роллишь список Оружия и получаешь выпавшее.
Золотой Оружейный Лутбокс|Предмет. При использовании роллишь список Оружия и получаешь выпавшее. Затем бросаешь монетку на еще один ролл списка Оружия и получение с него выпавшего или ничего до тех пор пока не прокнет «ничего».
Крысиный Лутбокс|Предмет. При использовании роллишь список Крысы и получаешь выпавшее.
Золотой Крысиный Лутбокс|Предмет. При использовании роллишь список Крысы и получаешь выпавшее. Затем бросаешь монетку на еще один ролл списка Крысы и получение с него выпавшего или ничего до тех пор пока не прокнет «ничего».
Гремлинский Лутбокс|Предмет. При использовании роллишь список Гремлины и получаешь выпавшее.
Золотой Гремлинский Лутбокс|Предмет. При использовании роллишь список Гремлины и получаешь выпавшее. Затем бросаешь монетку на еще один ролл списка Гремлины и получение с него выпавшего или ничего до тех пор пока не прокнет «ничего».
Зельевой Лутбокс|Предмет. При использовании роллишь список Зелья и получаешь выпавшее.
Золотой Зельевой Лутбокс|Предмет. При использовании роллишь список Зелья и получаешь выпавшее. Затем бросаешь монетку на еще один ролл списка Зелья и получение с него выпавшего или ничего до тех пор пока не прокнет «ничего».
Съедобный Лутбокс|Предмет. При использовании роллишь список Съедобный и получаешь выпавшее.
Золотой Съедобный Лутбокс|Предмет. При использовании роллишь список Съедобный и получаешь выпавшее. Затем бросаешь монетку на еще один ролл списка Съедобный и получение с него выпавшего или ничего до тех пор пока не прокнет «ничего».
Бомбический Лутбокс|Предмет. При использовании роллишь список Бомбы и получаешь выпавшее.
Золотой Бомбический Лутбокс|Предмет. При использовании роллишь список Бомбы и получаешь выпавшее. Затем бросаешь монетку на еще один ролл списка Бомбы и получение с него выпавшего или ничего до тех пор пока не прокнет «ничего».
Живой Лутбокс|Предмет. При использовании роллишь список Живой и получаешь выпавшее.
Эпический Лутбокс|Предмет. При использовании роллишь список Эпики и получаешь выпавшее.
Предметный Лутбокс|Предмет. При использовании роллишь список Предметы и получаешь выпавшее.
